subject,block,trial,task,regret,mb_dist
0,2,7,3,38.0,6.0
0,2,8,0,2.0,5.0
0,2,9,1,4.0,0.0
0,2,10,2,6.0,2.0
0,2,11,3,32.0,6.0
0,2,12,0,38.0,5.0
0,2,13,1,4.0,0.0
0,2,14,2,2.0,2.0
0,2,15,3,16.0,6.0
0,2,16,0,18.0,5.0
0,2,17,1,2.0,0.0
0,2,18,2,4.0,2.0
0,2,19,3,258.0,6.0
0,2,20,0,6.0,5.0
0,2,21,1,2.0,0.0
0,2,22,2,6.0,2.0
0,2,23,3,28.0,6.0
0,2,24,0,10.0,5.0
0,2,25,1,2.0,0.0
0,2,26,2,2.0,2.0
0,2,27,3,16.0,6.0
0,2,28,0,18.0,5.0
0,2,29,1,2.0,0.0
0,2,30,2,2.0,2.0
0,2,31,3,22.0,6.0
0,2,32,0,58.0,5.0
0,2,33,1,2.0,0.0
0,2,34,2,2.0,2.0
0,2,35,3,26.0,6.0
0,2,36,0,10.0,5.0
0,2,37,1,2.0,0.0
0,2,38,2,2.0,2.0
0,2,39,3,6.0,6.0
0,2,40,0,4.0,5.0
0,2,41,1,2.0,0.0
0,2,42,2,14.0,2.0
0,2,43,3,14.0,6.0
0,2,44,0,4.0,5.0
0,2,45,1,2.0,0.0
0,2,46,2,2.0,2.0
0,2,47,3,132.0,6.0
0,2,48,0,8.0,5.0
0,2,49,1,2.0,0.0
0,2,50,2,4.0,2.0
0,2,51,3,14.0,6.0
0,2,52,0,8.0,5.0
0,2,53,1,2.0,0.0
0,2,54,2,10.0,2.0
0,2,55,3,90.0,6.0
0,2,56,0,6.0,5.0
0,2,57,1,2.0,0.0
0,2,58,2,4.0,2.0
0,2,59,3,18.0,6.0
0,2,60,0,4.0,5.0
0,2,61,1,2.0,0.0
0,2,62,2,2.0,2.0
0,2,63,3,88.0,6.0
0,2,64,0,12.0,5.0
0,2,65,1,2.0,0.0
0,2,66,2,4.0,2.0
0,2,67,3,12.0,6.0
0,2,68,0,4.0,5.0
0,2,69,1,2.0,0.0
0,2,70,2,2.0,2.0
0,2,71,3,62.0,6.0
0,2,72,0,4.0,5.0
0,2,73,1,2.0,0.0
0,2,74,2,2.0,2.0
0,2,75,3,6.0,6.0
0,2,76,0,4.0,5.0
0,2,77,1,2.0,0.0
0,2,78,2,8.0,2.0
0,2,79,3,86.0,6.0
0,2,80,0,2.0,5.0
0,2,81,1,2.0,0.0
0,2,82,2,4.0,2.0
0,2,83,3,32.0,6.0
0,2,84,0,2.0,5.0
0,2,85,1,2.0,0.0
0,2,86,2,4.0,2.0
0,2,87,3,24.0,6.0
0,2,88,0,12.0,5.0
0,2,89,1,2.0,0.0
0,2,90,2,4.0,2.0
0,2,91,3,12.0,6.0
0,2,92,0,2.0,5.0
0,2,93,1,2.0,0.0
0,2,94,2,4.0,2.0
0,2,95,3,26.0,6.0
0,2,96,0,2.0,5.0
0,2,97,1,2.0,0.0
0,2,98,2,14.0,2.0
0,2,99,3,10.0,6.0
0,3,0,0,12.0,2.0
0,3,1,1,36.0,3.0
0,3,2,2,46.0,5.0
0,3,3,3,4.0,6.0
0,3,4,0,52.0,2.0
0,3,5,1,136.0,3.0
0,3,6,2,6.0,5.0
0,3,7,3,4.0,6.0
0,3,8,0,6.0,2.0
0,3,9,1,16.0,3.0
0,3,10,2,38.0,5.0
0,3,11,3,40.0,6.0
0,3,12,0,32.0,2.0
0,3,13,1,92.0,3.0
0,3,14,2,10.0,5.0
0,3,15,3,2.0,6.0
0,3,16,0,8.0,2.0
0,3,17,1,22.0,3.0
0,3,18,2,6.0,5.0
0,3,19,3,2.0,6.0
0,3,20,0,14.0,2.0
0,3,21,1,10.0,3.0
0,3,22,2,4.0,5.0
0,3,23,3,10.0,6.0
0,3,24,0,42.0,2.0
0,3,25,1,94.0,3.0
0,3,26,2,4.0,5.0
0,3,27,3,12.0,6.0
0,3,28,0,14.0,2.0
0,3,29,1,28.0,3.0
0,3,30,2,6.0,5.0
0,3,31,3,6.0,6.0
0,3,32,0,40.0,2.0
0,3,33,1,16.0,3.0
0,3,34,2,16.0,5.0
0,3,35,3,12.0,6.0
0,3,36,0,16.0,2.0
0,3,37,1,34.0,3.0
0,3,38,2,12.0,5.0
0,3,39,3,14.0,6.0
0,3,40,0,12.0,2.0
0,3,41,1,106.0,3.0
0,3,42,2,8.0,5.0
0,3,43,3,2.0,6.0
0,3,44,0,8.0,2.0
0,3,45,1,2.0,3.0
0,3,46,2,6.0,5.0
0,3,47,3,2.0,6.0
0,3,48,0,8.0,2.0
0,3,49,1,46.0,3.0
0,3,50,2,6.0,5.0
0,3,51,3,8.0,6.0
0,3,52,0,12.0,2.0
0,3,53,1,30.0,3.0
0,3,54,2,6.0,5.0
0,3,55,3,26.0,6.0
0,3,56,0,22.0,2.0
0,3,57,1,40.0,3.0
0,3,58,2,6.0,5.0
0,3,59,3,16.0,6.0
0,3,60,0,40.0,2.0
0,3,61,1,64.0,3.0
0,3,62,2,6.0,5.0
0,3,63,3,14.0,6.0
0,3,64,0,10.0,2.0
0,3,65,1,38.0,3.0
0,3,66,2,4.0,5.0
0,3,67,3,10.0,6.0
0,3,68,0,42.0,2.0
0,3,69,1,64.0,3.0
0,3,70,2,4.0,5.0
0,3,71,3,2.0,6.0
0,3,72,0,38.0,2.0
0,3,73,1,108.0,3.0
0,3,74,2,4.0,5.0
0,3,75,3,8.0,6.0
0,3,76,0,8.0,2.0
0,3,77,1,2.0,3.0
0,3,78,2,6.0,5.0
0,3,79,3,4.0,6.0
0,3,80,0,8.0,2.0
0,3,81,1,14.0,3.0
