subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,1,15,65,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,16,66,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,16,66,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,17,67,1,6,1,5,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,17,67,1,6,2,5,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,18,68,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,18,68,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,19,69,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,19,69,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,20,70,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,20,70,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,21,71,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,21,71,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,22,72,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,22,72,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,23,73,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,23,73,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,24,74,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,24,74,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,25,75,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,25,75,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,26,76,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,26,76,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,27,77,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,27,77,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,28,78,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,28,78,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,29,79,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,29,79,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,30,80,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,30,80,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,31,81,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,31,81,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,32,82,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,32,82,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,33,83,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,33,83,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,34,84,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,34,84,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,35,85,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,35,85,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,36,86,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,36,86,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,37,87,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,37,87,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,38,88,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,38,88,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,39,89,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,39,89,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,40,90,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,40,90,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,41,91,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,41,91,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,42,92,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,42,92,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,43,93,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,43,93,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,44,94,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
